year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_vs_monthly_vw_annual,ex_post_tracking_error_vs_vw_drift_annual
2013,vw_nz,0.001269542685349581,0.02472008161775536,0.014746846048336301
2014,vw_nz,0.00140587764917036,0.02485188338899803,0.022324026636927678
2015,vw_nz,0.0012518915971755564,0.017222651802228574,0.020292775974888204
2016,vw_nz,0.0011986782261654981,0.012356200697886842,0.011054053796504862
2017,vw_nz,0.0012510919098964505,0.01259576437824629,0.01256450335996464
2018,vw_nz,0.0013025185143172064,0.019455847085714902,0.017404947125423023
2019,vw_nz,0.001149564085257279,0.05569437681458287,0.05485844450045116
2020,vw_nz,0.00110683936766148,0.049825330921913484,0.050587932623614475
2021,vw_nz,0.0010524216221138986,0.032771716220731224,0.02890776681437332
2022,vw_nz,0.000880710919986222,0.031989485870069036,0.0308084570046288
2023,vw_nz,0.0008507084826287322,0.036778954426496015,0.027657904087319055
2024,vw_nz,0.0009635183114723298,0.02100526735565589,0.020653026614166188
